Nome aceito,Cidade,Estado,País,Latitude,Longitude
Bacopa stricta,Carangola,Minas Gerais,Brasil, -20.7331, -42.0294
Bacopa stricta,Brejo da Madre de Deus,Pernambuco,Brasil, -8.14583015441895, -36.3711013793945
Bacopa stricta, Núcleo Caraguatatuba. Trilha dos Macacos,Caraguatatuba,São Paulo,Brasil, -23.6203
Bacopa stricta,LINHARES,ES,BRASIL, -19.3910999298096, -40.0722007751465
Bacopa stricta, Km 16, BA 052, lado NE.,Anguera,Bahia
Bacopa stricta, margem estrada entre PE-77 e a sede do municipio.,Capoeiras,Pernambuco,Brasil, -8.73472023010254
Bacopa stricta,,Rio de Janeiro,Brazil,,
Bacopa stricta,Corumbá,Mato Grosso do Sul,Brasil, -19.502889, -57.018556
Bacopa stricta,,,Brasil,,
Bacopa stricta,Piritiba,Bahia,Brasil, -11.716667, -40.55
Bacopa stricta,Anguera,Bahia,Brasil, -12.183333, -39.15
Bacopa stricta, chegando próximo da cidade sentido Saubara-Santo Amaro,Santo Amaro,Bahia,Brasil, -12.5466995239258
Bacopa stricta,Baixa Grande,Bahia,Brasil, -11.959278, 0
Bacopa stricta, próximo à subida para Grota Funda.,Atibaia,São Paulo,Brazil, -23.1100006103516
Bacopa stricta, próximo do lago azul.,Itaituba,Pará,Brasil, -9.366667
Bacopa stricta,Governador Valadares,Minas Gerais,Brasil, -18.8511009216309, -41.9494018554688
Bacopa stricta,Naque,MG,Brasil, -19.2303009033203, -42.3283004760742
Bacopa stricta, Tapera.,,Pernambuco,Brasil, -8.12
Bacopa stricta,5, sentido Jacareí-Campinas.,,São Paulo,Brazil
Bacopa stricta,Belo Horizonte,Minas Gerais,Brasil, -19.9207992553711, -43.937801361084
Bacopa stricta,Pindamonhangaba,São Paulo,Brasil, -22.9239, -45.4617
Bacopa stricta,,Pernambuco,Brasil,,
Bacopa stricta,Bertioga,São Paulo,Brasil, -23.8544006347656, -46.138599395752
Bacopa stricta,,,Brasil,,
Bacopa stricta,Belo Horizonte,Minas Gerais,Brasil, -19.9207992553711, -43.937801361084
