Nome Aceito,Sinônimo
Sapium glandulosum,Sapium glandulatum
Eclipta megapotamica
Nymphaea rudgeana
Justicia aequilabris
Mimosa invisa
Ottelia brasiliensis
Fimbristylis autumnalis
Utricularia breviscapa,Utricularia inflata
Ludwigia filiformis
Egletes viscosa
Cyperus berroi
Trichanthecium schwackeanum,Panicum helobium,Panicum schwackeanum
Psidium acutangulum
Juncus effusus
Habenaria pratensis
Cambessedesia hilariana
Scleria microcarpa
Ludwigia affinis
Passiflora vespertilio
Calopogonium mucunoides
Rhynchanthera cordata
Wolffiella welwitschii
Luziola subintegra
Digitaria ciliaris
Eragrostis acutiflora
Utricularia warmingii
Ludwigia hexapetala,Ludwigia uruguayensis
Nymphaea gardneriana
Najas guadalupensis,Najas microdon
Mimosa pudica
Gomphrena elegans
Picrosia longifolia
Cyperus laxus,Cyperus diffusus
Eragrostis ciliaris
Cenchrus purpureus,Pennisetum purpureum
Byttneria palustris
Neptunia oleracea,Neptunia prostrata
Lindernia crustacea
Zizaniopsis bonariensis
Ammannia latifolia
Plantago australis
Cyperus giganteus
Gymnocoronis spilanthoides
Ludwigia inclinata
Utricularia tricolor
Acmella uliginosa
Vigna longifolia
Hyptis parkeri
Cyperus polystachyos,Pycreus polystachyos
Lemna valdiviana
Clidemia hirta
Callitriche rimosa
Odontocarya membranacea,Odontocarya arifolia
Turnera scabra
Lessingianthus glabratus
Tynanthus polyanthus
Caperonia palustris
Fimbristylis squarrosa
Cabomba caroliniana
Desmodium barbatum
Stephostachys mertensii,Panicum mertensii
Echinodorus floribundus
Cyclanthera hystrix
Ipomoea setifera
Juncus capillaceus
Eleocharis elegans
Eragrostis pilosa
Malachra radiata
Gurania tricuspidata
Not Specified,Elaterium amazonicum,Scirpus cubensis,Juncus dichotomus,Lindernia microcalyx,Acisanthera fluitans,Panicum boliviense,Panicum milleflorum
Mimosa pellita
Phyllanthus niruri
Senna occidentalis
Fimbristylis spadicea
Tilesia baccata
Reimarochloa aberrans
Hebanthe eriantha,Hebanthe paniculata
Paspalum conjugatum
Sauvagesia rubiginosa
Murdannia nudiflora,Commelina nudiflora
Phyllanthus sellowianus
Cyperus imbricatus
Costus arabicus
Calea marginata
Dialium guianense
Juncus marginatus
Ischnosiphon polyphyllus
Fuirena umbellata
Enydra anagallis
Cuphea fruticosa
Begonia reniformis
Mayaca fluviatilis
Eleocharis minima
Aeschynomene paniculata
Acanthospermum australe
Echinodorus glandulosus
Utricularia subulata
Spartina alterniflora
Aeschynomene mollicula
Scleria secans
Paspalum melanospermum
Chamaecrista repens
Cyperus cuspidatus
Sonchus oleraceus
Torenia thouarsii
Ipomoea maurandioides,Ipomoea serpens
Gratiola peruviana
Wolffia arrhiza
Ludwigia grandiflora
Jungia floribunda
Hyptis lappacea
Halophila decipiens
Tripogandra diuretica
Centropogon cornutus
Eriosema simplicifolium
Oryza grandiglumis
Crotalaria micans
