Emilia coccinea,NOME_ACEITO,Emilia coccinea
Emilia sonchifolia,NOME_ACEITO,Emilia sonchifolia
Enydra anagallis,NOME_ACEITO,Enydra anagallis
Enydra radicans,NOME_ACEITO,Enydra radicans
Enydra sessilis,NOME_ACEITO,Enydra sessilis
Enydra anagallis,NOME_ACEITO,Enydra anagallis
Erechtites hieracifolia,NOME_ACEITO,Erechtites hieracifolia
Erechtites glomeratus,NOME_ACEITO,Erechtites glomeratus
Erechtites valerianifolius,NOME_ACEITO,Erechtites valerianifolius
Eupatorium adspersum,NOME_ACEITO,Eupatorium adspersum
Grazielia intermedia,NOME_ACEITO,Grazielia intermedia
Gymnocoronis spilanthoides,NOME_ACEITO,Gymnocoronis spilanthoides
Jaegeria hirta,NOME_ACEITO,Jaegeria hirta
Jungia floribunda,NOME_ACEITO,Jungia floribunda
Lepidaploa chalybaea,NOME_ACEITO,Lepidaploa chalybaea
Lessingianthus glabratus,NOME_ACEITO,Lessingianthus glabratus
Mikania congesta,NOME_ACEITO,Mikania congesta
Mikania cordifolia,NOME_ACEITO,Mikania cordifolia
Mikania micrantha,NOME_ACEITO,Mikania micrantha
Mikania periplocifolia,NOME_ACEITO,Mikania periplocifolia
Pacourina edulis,NOME_ACEITO,Pacourina edulis
Picrosia longifolia,NOME_ACEITO,Picrosia longifolia
Pluchea sagittalis,NOME_ACEITO,Pluchea sagittalis
Praxelis sanctopaulensis,NOME_ACEITO,Praxelis sanctopaulensis
Pterocaulon balansae,NOME_ACEITO,Pterocaulon balansae
Richterago radiata,SINONIMO,Actinoseris radiata
Rolandra fruticosa,NOME_ACEITO,Rolandra fruticosa
Senecio bonariensis,NOME_ACEITO,Senecio bonariensis
Senecio erisithalifolius,NOME_ACEITO,Senecio erisithalifolius
Senecio mattfeldianus,NOME_ACEITO,Senecio mattfeldianus
Senecio tweediei,NOME_ACEITO,Senecio tweediei
Sonchus oleraceus,NOME_ACEITO,Sonchus oleraceus
Sphagneticola trilobata,NOME_ACEITO,Sphagneticola trilobata
Synedrella nodiflora,NOME_ACEITO,Synedrella nodiflora
Tilesia baccata,NOME_ACEITO,Tilesia baccata
Trichospira verticillata,NOME_ACEITO,Trichospira verticillata
Vernonanthura beyrichii,NOME_ACEITO,Vernonanthura beyrichii
Vernonanthura brasiliana,NOME_ACEITO,Vernonanthura brasiliana
Wedelia alagoensis,NOME_ACEITO,Wedelia alagoensis
Impatiens abbatis,NOME_ACEITO,Impatiens abbatis
Begonia cucullata,NOME_ACEITO,Begonia cucullata
Begonia hirtella,NOME_ACEITO,Begonia hirtella
Begonia reniformis,NOME_ACEITO,Begonia reniformis
Pleonotoma clematis,NOME_ACEITO,Pleonotoma clematis
Tanaecium pyramidatum,NOME_ACEITO,Tanaecium pyramidatum
Tynanthus polyanthus,NOME_ACEITO,Tynanthus polyanthus
Cordia curassavica,NOME_ACEITO,Cordia curassavica
Cordia multispicata,NOME_ACEITO,Cordia multispicata
Cordia superba,NOME_ACEITO,Cordia superba
Cordia tetrandra,NOME_ACEITO,Cordia tetrandra
Euploca procumbens,SINONIMO,Heliotropium procumbens
Heliotropium angiospermum,NOME_ACEITO,Heliotropium angiospermum
Heliotropium elongatum,NOME_ACEITO,Heliotropium elongatum
Heliotropium indicum,NOME_ACEITO,Heliotropium indicum
Heliotropium procumbens,NOME_ACEITO,Heliotropium procumbens
Tournefortia bicolor,NOME_ACEITO,Tournefortia bicolor
Cardamine bonariensis,NOME_ACEITO,Cardamine bonariensis
Nasturtium officinale,NOME_ACEITO,Nasturtium officinale
Burmannia australis,NOME_ACEITO,Burmannia australis
Burmannia capitata,NOME_ACEITO,Burmannia capitata
Burmannia flava,NOME_ACEITO,Burmannia flava
Cabomba aquatica,NOME_ACEITO,Cabomba aquatica
Cabomba caroliniana,NOME_ACEITO,Cabomba caroliniana
Cabomba furcata,NOME_ACEITO,Cabomba furcata
Cabomba haynesii,NOME_ACEITO,Cabomba haynesii
Centropogon cornutus,NOME_ACEITO,Centropogon cornutus
Lobelia anceps,NOME_ACEITO,Lobelia anceps
Lobelia aquatica,NOME_ACEITO,Lobelia aquatica
Lobelia camporum,NOME_ACEITO,Lobelia camporum
Lobelia exaltata,NOME_ACEITO,Lobelia exaltata
Lobelia fistulosa,NOME_ACEITO,Lobelia fistulosa
Lobelia nummularioides,NOME_ACEITO,Lobelia nummularioides
Lobelia xalapensis,NOME_ACEITO,Lobelia xalapensis
Siphocampylus actinothrix,NOME_ACEITO,Siphocampylus actinothrix
Canna indica,NOME_ACEITO,Canna indica
Canna glauca,NOME_ACEITO,Canna glauca
Canna bangii,NOME_ACEITO,Canna bangii
Aneilema umbrosum,NOME_ACEITO,Aneilema umbrosum
Commelina erecta,NOME_ACEITO,Commelina erecta
Commelina schomburgkiana,NOME_ACEITO,Commelina schomburgkiana
Dichorisandra hexandra,NOME_ACEITO,Dichorisandra hexandra
Floscopa glabrata,NOME_ACEITO,Floscopa glabrata
Tripogandra diuretica,NOME_ACEITO,Tripogandra diuretica
Aniseia argentina,NOME_ACEITO,Aniseia argentina
Cressa truxillensis,NOME_ACEITO,Cressa truxillensis
Evolvulus filipes,NOME_ACEITO,Evolvulus filipes
