Dicliptera ciliaris Juss.
Campuloclinium purpurascens (Sch. Bip.) R.M. King & H. Rob.
Chaptalia graminifolia (Dusen) Cabr.
Chrysolaena platensis (Spreng.) H. Robins. 
Clibadium amanii (Balb.) Sch. Bip. ex Baker
Conyza bonariensis (L.) Cronquist
Conyza sumatrensis (Retz.) E.Walker 
Cotula coronopifolia L. 
Delilia biflora (L.) Kuntze 
Eclipta megapotamica (Spreng.) Sch.Bip. ex S.F.Blake 
Eclipta prostrata (L.) L.
Egletes viscosa (L.) Less. 
Elephantopus mollis Kunth
Emilia coccinea (Sims) G. Don
Emilia sonchifolia (L.) DC. ex Wight
Enydra anagallis Gardner 
Enydra radicans (Willd.) Lack.
Enydra sessilis (SW.) DC. 
Enydra virularis Gardner
Erechtites hieracifolia (L.) Rafin
Erechtites hieracifolius (L.) Raf. ex DC.
Erechtites valerianifolius (Link ex Spreng.) DC.
Erigeron maximus (D. Don) DC.
Eupatorium bupleurifolium DC.
Eupatorium candolleanum Hook. & Arn.
Eupatorium subhastatum Hook. & Arn.
Eupatorium tremulum Hook. & Arn.
Eupatorium tweedianum Hook. & Arn.
Gamochaeta americana (Mill.) Wedd.
Gnaphalium spicatum Mill. 
Grazielia intermedia (DC.) R. M. King & H. Robins
Gymnocoronis spilanthoides DC. 
Jaegeria hirta (Lag.) Less. 
Jungia floribunda Less.
Lepidaploa chalybaea (Mart. Ex DC.) H. Rob.
Lessingianthus glabratus (Less.) H. Rob.
Mikania congesta DC. 
Mikania cordifolia (L. f.) Willd.
Mikania micrantha Kunth 
Mikania periplocifolia Hook. And Arn.
Pacourina edulis Aubl. 
Picrosia longifolia D. Don
Pluchea sagittalis (Lam.) Cabrera
Praxelis sanctopaulensis (B.L. Rob.) R.M. King & H. Rob.
Pterocaulon balansae  Chodat
Richterago radiata (Vell.) Roque
Rolandra fruticosa (L.) Kuntze
Senecio bonariensis Hook.& Arn. 
Senecio erisithalifolius Sch. Bip. Ex Baker
Senecio icoglossus DC.
Senecio mattfeldianus Cabr.
Senecio tweediei Hook. & Arn. 
Sonchus oleraceus L. 
Sphagneticola trilobata (L.) Pruski
Synedrella nodiflora (L.) Gaertn.
Tilesia baccata (L.f.) Pruski 
Trichospira verticillata (L.) S.F.Blake
Vernonanthura beyrichii (Less) H. Rob.
Vernonanthura brasiliana (L.) H.Rob. 
Vernonia scorpioides (Lam) Pers.
Wedelia alagoensis Baker
Wedelia calycina Rich. 
Impatiens wallerana Hook. F. 
Begonia cucullata Willd.
Begonia fischeri Schrank
Begonia hirtella Link
Begonia reniformis Dryand.
Pleonotoma clematis (Kunth) Miers 
Tanaecium pyramidatum (Rich.) L.G.Lohmann 
Tynanthus polyanthus (Bureau) Sandwith 
Cordia curassavica (Jacq.) Roem. and Schult.
Cordia multispicata Cham.
Cordia superba Cham. 
Cordia tetrandra Aubl.
Euploca procumbens (Mill.) Diane & Hilger
Heliotropium angiospermum Murray
Heliotropium elongatum (Lehm.) I.M. Johnst.
Heliotropium indicum L.
Heliotropium procumbens Mill.
Tournefortia bicolor Sw.
Cardamine bonariensis Pers. 
Nasturtium officinale R. Br.
Burmannia australis Malme
Burmannia capitata (Walter ex J.F.Gmel.) Mart. 
Burmannia flava Mart. 
Cabomba aquatica Aublet.
Cabomba caroliniana A. Gray
Cabomba furcata Schult. & Schult.f. 
Cabomba haynesii Wiersema
Centropogon cornutus (L.) Druce
Lobelia anceps L. f.
Lobelia aquatica Cham.
Lobelia camporum Pohl
Lobelia exaltata Pohl
Lobelia fistulosa Vell.
Lobelia nummularioides Cham.
Lobelia xalapensis Kunth
Pratia hederacea (Cham.) G. Don 
Siphocampylus sulfereus Wimmer
Canna indica L.
Canna glauca L. 
Canna xgeneralis L.H. Bailey
Aneilema umbrosum (Vahl) Kunth 
Callisia filiformis (M.Martens & Galeotti) D.R.Hunt 
Commelina diffusa Burm.f.
Commelina erecta L.
Commelina nudiflora L.
Commelina obliqua Vahl
Commelina schomburgkiana Klotzsch
Dichorisandra hexandra (Aubl.) Kuntze ex Hand.-Mazz. 
Floscopa glabrata (Kunth) Hassk. 
Tripogandra diuretica (Mart.) Handlos
Anisea cernua Moric.
Aniseia martinicensis(Jacq.) Choisy 
Cressa truxillensis Kunth
Evolvulus filipes Mart.
Evolvulus nummularius (L.) L. 
Evolvulus pohlli Meiss.
Ipomoea alba L.
Ipomoea aquatica Forssk. 
Ipomoea asaralifolia Poir.
Ipomoea asarifolia (Desr.) Roem. & Schult.
Ipomoea batatas (L.) Poir. 
Ipomoea cairica (L.) Sweet 
Ipomoea carnea Jacq.
Ipomoea cynanchifolia Meisn. 
Ipomoea fimbriosepala Choisy
Ipomoea fistulosa Mart. ex. Choisy 
Ipomoea indivisa (Vell.) Hall.
Ipomoea philomega (Vell.) House 
Ipomoea quamoclit L. 
Ipomoea setifera Poir. 
Ipomoea setosa Ker Gawl.
Ipomoea serpens Meissner
Ipomoea squamosa Choisy 
Ipomoea subrevoluta Choisy
Ipomoea wrightii A. Gray
Iseia luxurians (Moric.) O’Donell 
Jacquemontia heterantha (Nees & Mart.) Hallier f.
Merremia aegyptia (L.) Urb.
Merremia umbellata (L.) Hallier f.
Operculina hamiltonii (G.Don) D.F.Austin & Staples 
Tetralocularia pennellii O’Donell 
Costus arabicus L.
Costus spirales (Jacq.) Roscoe 
Crassula peduncularis (Sm.) Meigen
Cyclanthera hystrix (Gillies) Arn.
Elaterium amazonicum Mart. 
Fevillea trilobata L.
Gurania bignoniacea (Poepp. & Endl.) C.Jeffrey 
Gurania tricuspidata Cogn. 
Luffa operculata (L.) Cogn. 
Momordica charantia L. 
Halodule emarginata Hartog
Halodule wrightii Asch.
Abildgaardia ovata (Burm. f.) Kral 
Becquerelia cymosa Brongn.
Becquerelia muricata Nees
Bulbostylis capillaris (L.) Kunth ex C.B. Clarke
Bulbostylis hirtella (Schrad. ex Schult.) Nees ex Urb.
Bulbostylis junciformis (Kunth) C.B.Clarke
Bulbostylis juncoides (Vahl) Kük. 
Bulbostylis sellowiana (Kunth) Palla
Bulbostylis truncata (Nees) M.T. Strong 
Calyptrocarya longifolia (Rudge) Kunth
Carex brasiliensis A. St.-Hil. 
Carex pseudocyperus L.
Cladium jamaicense Crantz 
Cyperus aggregatus (Willd.) Endl.
Cyperus amabilis Vahl 
Cyperus articulatus L. 
Cyperus aristatus Rottb.
Cyperus barrosianus Herter
Cyperus berroi (C.B. Clarke) Barros 
Cyperus brevifolius (Rottb.) Hassk.
Cyperus cayennensis Willd. ex Link
Cyperus celluloso-reticulatus Boeck.
Cyperus chalaranthus J.Presl & C.Presl 
Cyperus compressus L. 
Cyperus cornelii-ostenii Kuk.
Cyperus corymbosus Rottb.
Cyperus cuspidatus Kunth
Cyperus diffusus Vahl
Cyperus digitatus Roxb.
Cyperus distans L. f. 
Cyperus eragrostis Lam
Cyperus esculentus L. 
Cyperus fistulosus Ehrenb. ex Boeckeler
Cyperus gardneri Nees 
Cyperus giganteus Vahl
Cyperus haspan L. 
Cyperus hermaphroditus (Jacq.) Standl.
Cyperus imbricatus Retz.
Cyperus intricatus Schrad. Ex Schult.
Cyperus involucratus Rottb.
Cyperus iria L.
Cyperus laetus Kunth
Cyperus lanceolatus Poir.
Cyperus laxus Lam.
Cyperus ligularis L. 
Cyperus luzulae (L) Retz.
Cyperus megapotamicus Kunth 
Cyperus mundtii (Nees) Kunth 
Cyperus obtusatus (J. & C. Presl) Mattf. & Kuk.
Cyperus odoratus L.
Cyperus papyrus L.
Cyperus polystachyus R. Br.
Cyperus prolixus Kunth 
Cyperus reflexus Vahl
Cyperus rigens C. Presl 
Cyperus rotundus L.
Cyperus sesquiflorus (Tor.) Mattf. et Kiik 
Cyperus surinamensis Rottb.
Cyperus uncinulatus Schrad. ex Nees
Cyperus virens Michx. 
Dialium guianense (Aubl.) Sandwith
Diplacrum longifolium (Griseb.) C.B. Clarke
Eleocharis acutangula (Roxb.) Schult. 
Eleocharis atropurpurea (Retz.) Kunth 
Eleocharis barrosii Svenson 
Eleocharis bonariensis Nees
Eleocharis capillacea Kunth 
Eleocharis debilis Kunth
Eleocharis elata Boeck. 
Eleocharis elegans (H.B.K.) Roem. & Schult. 
Eleocharis elongata Chapman 
Eleocharis equisetoides (Elliott.) Torr.
Eleocharis filiculmis Kunth
Eleocharis fistulosa Schult.
Eleocharis flavescens (Poir.) Urban 
Eleocharis geniculata  (L.) Roem. & Schult. 
Eleocharis interstincta (Vahl) Roem. & Schult.
Eleocharis maculosa (Vahl) R. Br. 
Eleocharis minarum Boeck
Eleocharis minima Kunth
Eleocharis montana (Vahl) Roem. & Schult.
Eleocharis mutata (L.) Roem. & Schult. 
Eleocharis nana Kunth 
Eleocharis nodulosa (Roth) Schult. 
Eleocharis nudipes (Kunth) Palla 
Eleocharis radicans (Poir) Kunth 
Eleocharis retroflexa (Poir.) Urb. 
Eleocharis sellowiana Kunth
Eleocharis subarticulata (Nees) Boeck. 
Eleocharis umbellata Rottb.
Fimbristylis aestivalis (Retz.) Vahl 
Fimbristylis autumnalis (L.) Roem. & Schult.
Fimbristylis complanata (Retz.) Link.
Fimbristylis cymosa R.Br. 
Fimbristylis dichotoma (L.) Vahl 
Fimbristylis diphylla (Reitz) Vahl
Fimbristylis miliacea (L.) Vahl 
Fimbristylis spadicea (L.) Vahl 
Fimbristylis squarrosa Vahl
Fuirena incompleta Nees
Fuirena robusta Kunth 
Fuirena umbellata Rottb.
Hyparrhenia rufa (Nees) Stapf
Kyllinga odorata Vahl. 
Kyllinga pumila Michx.
Lipocarpha humboldtiana Nees 
Lipocarpha micrantha (Vahl) G.C. Tucker
Lipocarpha salzmanniana Steud. 
Lipocarpha sellowiana Kunth
Oxycaryum cubense (Poepp. & Kunth) Lye 
Pycreus flavescens (L.) P. Beauv. ex Rchb.
Pycreus macrostachyos (Lam.) J. Raynal
Pycreus polystachyos (Rottb.) P.Beauv.
Rhynchospora barbata (Vahl) Kunth
Rhynchospora brittonii Gale 
Rhynchospora cephalotes (L.) Vahl
Rhynchospora contracta (Nees) J. Raynal 
Rhynchospora corymbosa (L.) Britton 
Rhynchospora cyperoides Mart. 
Rhynchospora gigantea Link.
Rhynchospora holoschoenoides (Rich.) Herter
Rhynchospora marisculus Lindl. & Nees 
Rhynchospora nervosa (Vahl) Boeckeler
Rhynchospora pubera (Vahl) Boeckeler
Rhynchospora riparia (Nees) Boeck.
Rhynchospora schomburgkiana (Boeck.) T. Koyama 
Rhynchospora subplumosa C.B. Clarke 
Rhynchospora tenerrima Nees ex Spreng.
Rhynchospora tenuis Link 
Rhynchospora trispicata (Nees) Schrad.
Rhynchospora velutina (Kunth) Boeckeler 
Schoenoplectus californicus (C.A.Mey) Soják
Scirpus americanus Pers.
Scirpus californicus (C.A.Mey.) Steud. 
Scirpus cubensis  Poepp. & Kunth 
Scirpus giganteus Kunth 
Scirpus maritimus L.
Scirpus submersus C. Wright 
Scleria bracteata Cav.
Scleria distans Poir.
Scleria hirtella SW. 
Scleria melaleuca Rchb.
Scleria microcarpa Nees ex Kunth
Scleria mitis P.J.Bergius 
Scleria pterota C. Presl
Scleria secans (L.) Urb. 
Scleria soronia (Nees) Kunth
Websteria confervoides (Poir.) S.S. Hooper
Dioscorea marginata Griseb.
Drosera communis A. St.-Hil.
Drosera intermedia Hayne 
Elatine lindbergii Rohrb.
Equisetum giganteum L.
Equisetum hyemale L.
Agarista chlorantha (Cham.) G. Don
Gaylussacia brasiliensis (Spreng.) Meisn.
Eriocaulon angustifolium Körn
Eriocaulon aquatile Korn.
Eriocaulon humboldtii Kunth 
Eriocaulon magnificum Ruhland 
Eriocaulon modestum Kunth 
Eriocaulon obtusum Ruhl.
Eriocaulon setaceum L.
Leiothrix pilulifera Ruhl. 
Leiothrix rufula  (A. St.-Hil.) Ruhl. 
Paepalanthus bifidus (Schrad.) Kunth 
Paepalanthus lamarckii Kunth 
Paepalanthus planifolius (Bong.) Koern.
Paepalanthus tortilis (Bong.) Mart.
Syngonanthus anomalus (Körn.) Ruhland 
Syngonanthus caulescens (Poir.) Ruhland 
Syngonanthus chrysanthus (Bong.) Ruhl.
Syngonanthus glandulosus Gleason
Syngonanthus gracilis (Bong.) Ruhland
Syngonanthus oblongus (Körn.) Ruhland 
Syngonanthus xeranthemoides (Bong.) Ruhland
Tonina fluviatilis Aubl. 
Acalypha arvensis Poepp. 
Acalypha poiretii Spreng. 
Argythamnia heteropetala (Didr.) Kuntze
Astraea lobata (L.) Klotzsch
Caperonia castaneifolia A. St.-Hil. 
Caperonia histrix Pax & Hoffm.
Caperonia palustris (L.) A.St.-Hil. 
Croton trinitatis Millsp. 
Dalechampia scandens L. 
Dalechampia tiliifolia Lam. 
Euphorbia hirta L.
Euphorbia hyssopifolia L.
Euphorbia prostrata Aiton
Euphorbia thymifolia L. 
Sapium glandulatum (Vell.) Pax 
Sesbania schottiana (M. Arg.) M. Arg.
Tonina fluviatilis Aubl.
Adesmia latifolia (Spr.) Vogel
Aeschynomene americana L. 
Aeschynomene ciliata Vog. 
Aeschynomene denticulata Rudd.
Aeschynomene evenia C. Wright and Sauvalle
Aeschynomene filosa Mart. 
Aeschynomene fluminensis Vell. 
Aeschynomene indica L.
Aeschynomene mollicula L.
Aeschynomene montevidensis Vogel
Aeschynomene paniculata Willd. ex Vogel 
Aeschynomene rudis Benth. 
Aeschynomene scabra G.Don
Aeschynomene sensitiva Sw. 
"Aeschynomene virginica (L.) Britton, Sterns & Poggenb."
Anadenanthera colubrina (Vell.) Brenan
Calopogonium mucunoides Desv. 
Centrosema brasilianum (L.) Benth.
Centrosema pubescens Benth.
Chamaecrista calycioides (DC. ex Collad.) Greene 
Chamaecrista diphylla (L.) Greene 
Chamaecrista hispidula (Vahl) H.S.Irwin & Barneby
Chamaecrista nictitans (L.) Moench
Chamaecrista repens (Vogel) H.S.Irwin & Barneby 
Clitoria falcata Lam. 
Clitoria guianensis (Aubl.) Benth. 
Clitoria laurifolia Poir. 
Collaea speciosa (Loisel.) DC.
Crotalaria brevifolia DC.
Crotalaria micans Link 
Crotalaria nitens Kunth 
Crotalaria pallida Aiton 
Crotalaria pilosa Mill. 
Crotalaria sagittalis L. 
Cymbosema roseum Benth. 
Dalbergia ecastophyllum (L.) Taub. 
Desmodium adscendens (Sw.) DC.
Desmodium barbatum (L.) Benth. 
Desmodium incanum (Sw.) DC.
Desmodium tortuosum (Sw.) DC.
Dioclea grandiflora Mart. ex Benth.
Dioclea guianensis Benth. 
Discolobium leptophyllum Benth.
Discolobium psoraliaefolium Benth. 
Discolobium pulchellum Benth. 
Eriosema simplicifolium (DC.) G. Don 
Erythrina crista-galli L.
Indigofera hirsuta L. 
Indigofera lespedezioides Kunth 
Indigofera sabulicola Benth.
Inga affinis DC.
Inga marginata Willd.
Inga sessilis (Vell.) Mart.
Inga uruguensis Hook. & Arn.
Lonchocarpus sericeus (Poir.) Kunth ex DC. 
Macrolobium multijugum (DC.) Benth. 
Macroptilium gracile (Poepp. ex Benth.) Urb. 
Macroptilium lathyroides (L.) Urb.
Mimosa bimucronata (DC.) Kuntze
Mimosa debilis Humb. & Bonpl. ex Willd. 
Mimosa dormiens Humb. & Bonpl. ex Willd. 
Mimosa invisa Mart. ex Colla 
Mimosa pellita Humb. & Bonpl. ex Willd. 
Mimosa pigra L.
Mimosa pudica L.
Mimosa setosa Benth. 
Neptunia oleracea Lour. 
Neptunia plena (L.) Benth.
Neptunia prostrata (Lam.) Baill.
Rhynchosia minima (L.) DC. 
Senna corymbosa (Lam.) Irwin & Barneby
Senna obtusifolia (L.) H.S.Irwin & Barneby
Senna occidentalis (L.) Link 
Senna reticulata (Willd.) H.S. Irwin & Barneby 
Senna uniflora (Mill.) H.S. Irwin & Barneby 
Sesbania exasperata Kunth 
Sesbania punicea (Cav.) Burkart 
Stylosanthes angustifolia Vog. 
Stylosanthes gracilis Kunth
Stylosanthes guianensis (Aubl.) Sw.
Stylosanthes scabra Vogel
Stylosanthes viscosa (L.) Sw.
Tephrosia purpurea (L.) Pers. 
Teramnus volubilis Sw. 
Vachellia farnesiana (L.) Wight & Arn.
Vigna juruana (Harms) Verdc. 
Vigna lasiocarpa (Mart.ex Benth.) Verdc.
Vigna longifolia (Benth.) Verdc. 
Vigna luteola (Jacq.) Benth.
Zornia guanipensis Pittier 
Zornia latifolia Sm. 
Coutoubea ramosa Aubl. 
Coutoubea spicata Aubl. 
Curtia tenuifolia (Aubl.) Knobl. 
Irlbachia alata (Aubl.) Maas
Irlbachia purpurascens (Aubl.) Maas
Schultesia benthamiana Klotzsch 
Schultesia brachyptera Cham. 
Schultesia gracilis Mart. 
Schultesia guianensis (Aubl.) Malme
Schultesia optera Cham.
Drymonia coccinea (Aubl.) Wiehler 
Sinningia elatior (Kunth) Chautems 
Schiekia orinocensis (Kunth) Meisn.
Laurembergia tetrandra (Schott) Kanitz
Myriophyllum aquaticum (Vell.) Verdc.
Myriophyllum elatinoides Gaud.
Proserpinaca palustris L.
Heliconia marginata (Griggs) Pittier
Heliconia psittacorum L.f. 
Apalanthe granatensis (Bonpl.) Planch. 
Egeria densa Planch.
Egeria najas Planch.
Elodea canadensis Michx.
Halophila decipiens Ostenf.
Hydrilla verticillata (L.f.) Royle
Limnobium laevigatum (Humb. & Bonpl. ex Willd.) Heine 
Najas argurta Kunth
Najas conferta (A.Braun) A.Braun 
Najas guadalupensis (Spreng.) Magnus
Najas marina L.
Najas microcarpa K. Schum.
Najas microdon A. Br.
Ottelia brasiliensis (Planch.) Walp. 
Hydrolea elatior Schott 
Hydrolea spinosa L.
Hypericum brasiliense Choisy 
Hypericum mutilum L.
Vismia cayennensis (Jacq.) Pers.
Curculigo scorzonerifolia (Lam.) Baker 
Hypoxis decumbens L.
Cipura paludosa Aubl. 
Sisyrinchium micranthum Cav.
Sisyrinchium vaginatum Spreng. 
Isoetes brasiliensis H.P. Fuchs
Isoetes ekmanii Weber
Juncus acutus L.
Juncus bufonius L. 
Juncus capillaceus Lam. 
Juncus densiflorus Kunth
Juncus dichotomus Elliot
Juncus dombeyanus J. Gay ex Lah. 
Juncus effusus L. 
Juncus marginatus Rostk. 
Juncus microcephalus Kunth 
Juncus sellowianus Kunth
Juncus scirpoides Lam. 
Lilaea scilloides (Poir.) Hauman 
Triglochin striata Ruiz & Pavon 
Hyptis atrorubens Poit.
Hyptis brevipes Poit. 
Hyptis caespitosa A. St.-Hil
Hyptis dilatata Benth. 
Hyptis fasciculata Benth. 
Hyptis lacustris St-Hil ex Benth.
Hyptis lagenaria A. St.-Hil ex Benth
Hyptis lantaniifolia Poit. 
Hyptis lappacea Benth.
Hyptis lorentziana O. Hoffm. 
Hyptis mutabilis (Rich.) Briq. 
Hyptis parkeri Benth. 
Hyptis recurvata Poit. 
Hyptis spicigera Lam. 
Hyptis suaveolens (L.) Poit.
Hyptis tetracephala Bordig.
Hyptis vilis Kunth & Bouché
Marsypianthes chamaedrys (Vahl) Kuntze 
Ocimum campechianum Mill.
Prunella vulgaris L. 
Salvia arenaria A. St.-Hil.
Salvia scabrida Pohl
Scutellaria minor Huds.
Vitex cymosa Bertero ex Spreng. 
Vitex megapotamica (Spreng.) Moldenke
Cassytha filiformis L. 
Genlisea filiformis A.St.- Hil.
Utricularia adpressa Salzm. ex. A. St. Hil. & Girard 
Utricularia breviscapa Wright ex Griseb.
Utricularia cucculata A.St.-Hil. & Girard
Utricularia erectiflora   A. St.-Hil. & Girard 
Utricularia fimbriata Kunth 
Utricularia foliosa L. 
Utricularia gibba L. 
Utricularia guyanensis A.DC.
Utricularia hydrocarpa Vahl
Utricularia inflata L.
Utricularia juncea Vahl
Utricularia laciniata A. St.-Hil. and Girard
Utricularia laxa St. Hilaire & Girard 
Utricularia myriocista A.St.-Hil. & Girard
Utricularia nana A.St.-Hil. & Girard
Utricularia neottioides A. St. Hil. & Girard.
Utricularia nervosa Weber ex Benj.
Utricularia nigrescens Sylvén
Utricularia olivacea Wright ex. Girard
Utricularia physoceras P. Taylor
Utricularia praelonga A.St.-Hil. & Girard 
Utricularia poconensis Fromm-Trinta 
Utricularia pusilla Vahl
Utricularia reniformis A. St.-Hil.
Utricularia simulans Pilg.
Utricularia subulata L. 
Utricularia trichophylla Spruce ex. Oliver 
Utricularia tricolor  A. St.-Hil
Utricularia triloba Benj. 
Utricularia warmingii Kamiénski
Lindernia crustacea (L.) F.Muell. 
Lindernia diffusa (L.) Wettst. 
Lindernia microcalyx Pennell and Stehlé
Lindernia rotundifolia (L.) Alston
Torenia thouarsii (Cham. & Schltdl.) Kuntze 
Spigelia anthelmia L.
Ammannia auriculata Willd.
Ammannia latifolia L. 
Cuphea antisyphilitica Kunth 
Cuphea arenarioides A. St.-Hil.
Cuphea campestris Koehne
Cuphea carthagenensis (Jacq.) Macbride 
Cuphea circaeoides Sm. ex Sims
Cuphea fruticosa Spreng.
Cuphea ingrata Cham. & Schltdl.
Cuphea melvilla Lindl.
Cuphea racemosa (L.f.) Spreng
Cuphea repens Koehne
Cuphea sessiliflora A. St.-Hil.
Heimia myrtifolia Cham. & Schltdl.
Lythrum hyssopifolia L.
Pleurophora anomala (A. St.-Hil.) Koehne
Rotala mexicana Schltdl. & Cham.
Rotala ramosior (L.) Koehne 
Rotala rotundifolia (Roxb.) Koehne
Byrsonima intermedia A. Juss.
Byttneria genistella Triana & Planch. 
Byttneria palustris Cristobal
Byttneria ramosissima Pohl
Byttneria scabra L.
Corchorus argutus Kunth
Corchorus hirtus L. 
Helicteres guazumifolia Kunth 
Hibiscus bifurcatus Cav. 
Hibiscus cisplatinus A.St.-Hil.
Hibiscus dimidiatus Schrank 
Hibiscus diversifolius Jacq.
Hibiscus furcellatus Ders. 
Hibiscus sororius L.
Hibiscus striatus Cav.
Malachra radiata L.
Melochia arenosa Benth.
Melochia graminifolia A. St.-Hil. 
Melochia hirsuta Cav.
Melochia simplex A. St.-Hil.
Melochia spicata (L.) Fryxell 
Monteiroa ptarmicifolia (St.-Hil & Naud.) Krap.
Pavonia angustifolia Benth. 
Pavonia cancellata Cav. 
Pavonia grandiflora A. St.-Hil. 
Pavonia laetevirens R. E. Fr.
Pavonia sessiliflora Kunth
Sida acuta Burm. f. 
