Rhynchospora velutina ok
Schoenoplectus californicus ok
Scirpus californicus,Scirpus californicus

Scirpus cubensis,Scirpus cubensis

Scirpus giganteus,Scirpus giganteus

Scirpus maritimus,Scirpus maritimus

Scirpus submersus,Scirpus submersus

Scleria bracteata ok
Scleria distans ok
Scleria hirtella ok
Scleria melaleuca,Scleria melaleuca

Scleria microcarpa ok
Scleria mitis ok
Scleria pterota,Scleria pterota

Scleria secans ok
Websteria confervoides,Websteria confervoides

Dioscorea marginata ok
Drosera communis ok
Drosera intermedia ok
Elatine lindbergii ok
Equisetum giganteum ok
Agarista chlorantha ok
Gaylussacia brasiliensis ok
Eriocaulon angustifolium,Eriocaulon angustifolium

Eriocaulon aquatile ok
Eriocaulon humboldtii ok
Eriocaulon magnificum ok
Eriocaulon modestum ok
Eriocaulon obtusum ok
Eriocaulon setaceum ok
Leiothrix pilulifera ok
Leiothrix rufula ok
Paepalanthus bifidus ok
Paepalanthus lamarckii ok
Paepalanthus planifolius ok
Paepalanthus tortilis ok
Syngonanthus anomalus ok
Syngonanthus caulescens ok
Syngonanthus chrysanthus ok
Syngonanthus glandulosus,Syngonanthus glandulosus

Syngonanthus gracilis ok
Syngonanthus oblongus ok
Syngonanthus xeranthemoides,Syngonanthus xeranthemoides

Tonina fluviatilis ok
Acalypha arvensis ok
Acalypha poiretii ok
Argythamnia heteropetala,Argythamnia heteropetala

Astraea lobata ok
Caperonia castaneifolia ok
Caperonia palustris ok
Croton trinitatis ok
Dalechampia scandens ok
Dalechampia tiliifolia ok
Euphorbia prostrata ok
Euphorbia thymifolia ok
Sapium glandulatum,Sapium glandulatum

Tonina fluviatilis ok
Adesmia latifolia ok
Aeschynomene americana ok
Aeschynomene ciliata ok
Aeschynomene denticulata ok
Aeschynomene evenia ok
Aeschynomene filosa ok
Aeschynomene fluminensis ok
Aeschynomene mollicula ok
Aeschynomene montevidensis ok
Aeschynomene paniculata ok
Aeschynomene rudis ok
Aeschynomene scabra ok
Aeschynomene sensitiva ok
Anadenanthera colubrina ok
Calopogonium mucunoides ok
Centrosema brasilianum ok
Centrosema pubescens ok
Chamaecrista calycioides ok
Chamaecrista diphylla ok
Chamaecrista hispidula ok
Chamaecrista nictitans ok
Chamaecrista repens ok
Clitoria falcata ok
Clitoria guianensis ok
Clitoria laurifolia ok
Collaea speciosa ok
Crotalaria micans ok
Crotalaria nitens ok
Crotalaria pallida ok
Crotalaria pilosa ok
Crotalaria sagittalis ok
Cymbosema roseum ok
Desmodium adscendens ok
Desmodium barbatum ok
Desmodium incanum ok
Desmodium tortuosum ok
Dioclea grandiflora ok
Dioclea guianensis ok
Discolobium leptophyllum ok
Discolobium pulchellum ok
Eriosema simplicifolium ok
Erythrina crista-galli ok
Indigofera hirsuta ok
Indigofera lespedezioides ok
Indigofera sabulicola ok
Inga affinis,Inga affinis

Inga marginata ok
Inga sessilis ok
Inga uruguensis,Inga uruguensis

Lonchocarpus sericeus ok
Macrolobium multijugum ok
Macroptilium gracile ok
Macroptilium lathyroides ok
Mimosa bimucronata ok
Mimosa debilis ok
Mimosa dormiens ok
Mimosa invisa ok
Mimosa pellita ok
Mimosa pigra ok
Mimosa pudica ok
Mimosa setosa ok
Neptunia oleracea ok
Neptunia prostrata,Neptunia prostrata

Rhynchosia minima ok
Senna corymbosa ok
Senna occidentalis ok
Senna reticulata ok
Senna uniflora ok
Sesbania exasperata ok
Sesbania punicea ok
Stylosanthes angustifolia ok
Stylosanthes gracilis ok
Stylosanthes guianensis ok
Stylosanthes viscosa ok
Tephrosia purpurea,Tephrosia purpurea

Teramnus volubilis ok
Vachellia farnesiana ok
Vigna juruana ok
Vigna lasiocarpa ok
Vigna longifolia ok
Vigna luteola ok
Zornia guanipensis ok
Zornia latifolia ok
Coutoubea ramosa ok
Curtia tenuifolia ok
Irlbachia alata,Irlbachia alata

Irlbachia purpurascens,Irlbachia purpurascens

Schultesia benthamiana ok
Schultesia brachyptera ok
Schultesia guianensis ok
Drymonia coccinea ok
Sinningia elatior ok
Schiekia orinocensis ok
Laurembergia tetrandra ok
Myriophyllum aquaticum ok
Myriophyllum elatinoides,Myriophyllum elatinoides

Proserpinaca palustris ok
Heliconia marginata ok
Heliconia psittacorum ok
Apalanthe granatensis ok
Egeria densa ok
Egeria najas ok
Elodea canadensis ok
Halophila decipiens ok
Limnobium laevigatum ok
Najas conferta ok
Najas guadalupensis ok
Najas marina ok
Najas microcarpa ok
Najas microdon,Najas microdon

Ottelia brasiliensis ok
Hydrolea elatior ok
Hydrolea spinosa ok
Hypericum brasiliense ok
Hypericum mutilum ok
Vismia cayennensis ok
Curculigo scorzonerifolia ok
Hypoxis decumbens ok
Cipura paludosa ok
Sisyrinchium micranthum ok
Sisyrinchium vaginatum ok
Isoetes brasiliensis ok
Juncus acutus ok
Juncus bufonius ok
Juncus capillaceus ok
Juncus densiflorus ok
Juncus dichotomus,Juncus dichotomus

Juncus dombeyanus,Juncus dombeyanus

Juncus effusus ok
Juncus marginatus ok
Juncus microcephalus ok
Juncus sellowianus,Juncus sellowianus

Juncus scirpoides ok
Lilaea scilloides ok
Triglochin striata ok
Hyptis atrorubens ok
Hyptis brevipes ok
Hyptis caespitosa ok
Hyptis dilatata ok
Hyptis fasciculata,Hyptis fasciculata

Hyptis lacustris ok
Hyptis lagenaria ok
Hyptis lappacea ok
Hyptis lorentziana ok
Hyptis mutabilis,Hyptis mutabilis

Hyptis parkeri ok
Hyptis recurvata ok
Hyptis spicigera,Hyptis spicigera

Hyptis suaveolens,Hyptis suaveolens

Hyptis tetracephala ok
Marsypianthes chamaedrys ok
Ocimum campechianum ok
Prunella vulgaris ok
Salvia arenaria ok
Salvia scabrida ok
Vitex cymosa ok
Vitex megapotamica ok
Cassytha filiformis ok
Genlisea filiformis ok
Utricularia adpressa ok
Utricularia breviscapa ok
Utricularia erectiflora ok
Utricularia fimbriata ok
Utricularia foliosa ok
Utricularia gibba ok
Utricularia guyanensis ok
Utricularia hydrocarpa ok
Utricularia inflata,Utricularia inflata

Utricularia juncea ok
Utricularia laciniata ok
Utricularia laxa ok
Utricularia myriocista ok
Utricularia nana ok
Utricularia neottioides ok
Utricularia nervosa ok
Utricularia nigrescens ok
Utricularia olivacea ok
Utricularia physoceras ok
Utricularia praelonga ok
Utricularia poconensis ok
Utricularia pusilla ok
Utricularia reniformis ok
Utricularia simulans ok
Utricularia subulata ok
Utricularia trichophylla ok
Utricularia tricolor ok
Utricularia triloba ok
Utricularia warmingii ok
Lindernia crustacea ok
Lindernia diffusa ok
Lindernia microcalyx,Lindernia microcalyx

Lindernia rotundifolia ok
Torenia thouarsii ok
Spigelia anthelmia ok
Ammannia auriculata ok
Ammannia latifolia ok
Cuphea antisyphilitica ok
Cuphea arenarioides ok
Cuphea campestris ok
Cuphea carthagenensis ok
Cuphea circaeoides ok
Cuphea fruticosa ok
Cuphea ingrata ok
Cuphea melvilla ok
Cuphea racemosa ok
Cuphea repens ok
Cuphea sessiliflora ok
Heimia myrtifolia,Heimia myrtifolia

Lythrum hyssopifolia ok
Pleurophora anomala ok
Rotala mexicana ok
Rotala rotundifolia ok
Byrsonima intermedia ok
Byttneria genistella ok
Byttneria palustris ok
Byttneria ramosissima ok
Byttneria scabra ok
Corchorus argutus ok
Corchorus hirtus ok
Helicteres guazumifolia ok
Hibiscus bifurcatus ok
Hibiscus dimidiatus ok
Hibiscus diversifolius ok
Hibiscus furcellatus ok
Hibiscus sororius ok
Malachra radiata ok
Melochia arenosa ok
Melochia graminifolia ok
Melochia hirsuta,Melochia hirsuta

Melochia simplex ok
Melochia spicata,Melochia spicata

Monteiroa ptarmicifolia ok
Pavonia angustifolia ok
Pavonia cancellata ok
Pavonia grandiflora ok
Pavonia laetevirens ok
Sida acuta ok
Sida anomala ok
Sida galheirensis ok
Sida rhombifolia ok
Sida setosa ok
Sida spinosa ok
Sidastrum multiflorum ok
Triumfetta althaeoides ok
Urena lobata ok
Waltheria americana,Waltheria americana

Waltheria indica ok
Calathea capitata,Calathea capitata

Calathea comosa,Calathea comosa

Calathea lanata,Calathea lanata

Calathea loeseneri,Calathea loeseneri

Calathea micans,Calathea micans

Ischnosiphon polyphyllus ok
Thalia multiflora ok
Thalia geniculata ok
Mayaca fluviatilis ok
Mayaca kunthii ok
Mayaca longipes ok
Mayaca sellowiana ok
Aciotis acuminifolia ok
Aciotis ornata ok
Acisanthera alsinaefolia ok
Acisanthera fluitans,Acisanthera fluitans

Acisanthera limnobios,Acisanthera limnobios

Acisanthera variabilis ok
Cambessedesia hilariana ok
Clidemia capitellata ok
Clidemia hirta ok
Comolia villosa ok
Leandra multiplinervis ok
Miconia chamissois ok
Microlepis oleifolia,Microlepis oleifolia

Microlicia myrtoidea ok
Pterolepis glomerata ok
Pterolepis repanda ok
Rhynchanthera cordata ok
Rhynchanthera dichotoma ok
Rhynchanthera grandiflora ok
Rhynchanthera hispida ok
Rhynchanthera novemnervia ok
Rhynchanthera serrulata ok
Rhynchanthera verbenoides ok
Tibouchina aspera ok
Tibouchina asperior,Tibouchina asperior

Tibouchina cerastifolia ok
Tibouchina cisplatensis ok
Tibouchina gracilis,Tibouchina gracilis

Tibouchina herbacea ok
Tibouchina sebastianopolitana ok
Tibouchina semidecandra,Tibouchina semidecandra

Tibouchina trichopoda,Tibouchina trichopoda

Tibouchina urceolaris,Tibouchina urceolaris

Cissampelos andromorpha ok
