icrolicia myrtoidea
terolepis glomerata
terolepis repanda
hynchanthera cordata
hynchanthera dichotoma
hynchanthera grandiflora
hynchanthera hispida
hynchanthera novemnervia
hynchanthera serrulata
hynchanthera verbenoides
ibouchina aspera
ibouchina asperior
ibouchina cerastifolia
ibouchina cisplatensis
ibouchina gracilis
ibouchina herbacea
ibouchina sebastianopolitana
ibouchina semidecandra
ibouchina trichopoda
ibouchina urceolaris
issampelos andromorpha
issampelos glaberrima
dontocarya arifolia
dontocarya tamoides
ymphoides grayana
ymphoides humboldtiana
ymphoides indica
linus radiatus
ollugo verticillata
sidium acutangulum
sidium cattleianum
ymphaea alba
ymphaea amazonum Mart.
ymphaea ampla
ymphaea belophylla
ymphaea caerulea
ymphaea capensis
ymphaea gardneriana
ymphaea jamesoniana
ymphaea lasiophylla
ymphaea lingulata
ymphaea lotus
ymphaea mexicana
ymphaea odorata
ymphaea oxypetala
ymphaea prolifera
ymphaea pulchella
ymphaea rubra
ymphaea rudgeana
ictoria amazonica
auvagesia erecta
auvagesia racemosa
auvagesia rubiginosa
auvagesia sprengelii
udwigia affinis
udwigia caparosa
udwigia decurrens
udwigia densiflora
udwigia elegans
udwigia erecta
udwigia filiformis
udwigia grandiflora
udwigia helminthorrhiza
udwigia hexapetala
udwigia hyssopifolia
udwigia inclinata
udwigia irwinii
udwigia lagunae
udwigia leptocarpa
udwigia linifolia
udwigia longifolia
udwigia major
udwigia multinervia
udwigia nervosa
udwigia octovalvis
udwigia peploides
udwigia peruviana
udwigia rigida
udwigia sedoides
udwigia sericea
udwigia suffruticosa
udwigia tomentosa
udwigia torulosa
udwigia uruguayensis
Anacheilium alagoense
leistes gracilis
yrtopodium paludicolum
pidendrum dendrobioides
rythrodes pumila
ulophia alta
abenaria aricaensis
abenaria brachyphyton
abenaria bractescens
abenaria graciliscarpa
abenaria inconspicua
abenaria johannensis
abenaria nabucoi
abenaria nuda
abenaria parviflora
abenaria pratensis
abenaria repens
abenaria riedelii
abenaria vaupellii
uchnera palustris
uchnera rosea
elasma melampyroides
ellosiella dracocephaloides
xalis barrelieri
assiflora foetida L.
assiflora vespertilio
iriqueta cistoides
Piriqueta duarteana
iriqueta racemosa
urnera scabra
esamum indicum
hyllanthus fluitans
hyllanthus hyssopifolioloides
hyllanthus niruri
hyllanthus sellowianus
hyllanthus stipulatus
hytolacca thyrsiflora
iper caldense
iper fuligineum
chetaria ocymoides
ngelonia gardneri
acopa aquatica
acopa arenaria
acopa egensis
acopa lanigera
acopa monnieri
acopa rotundifolia
acopa salzmannii
acopa serpylloides
acopa stricta
copa reflexa
allitriche deflexa
allitriche rimosa
onobea aquatica
ratiola peruviana
ecardonia procumbens (Mill.) Small
ecardonia serpylloides
icranthemum umbrosum
lantago australis
coparia dulcis
coparia montevidensis
temodia durantifolia
temodia maritima
temodia pratensis
imonium brasiliense
croceras zizanioides
grostis palustris
ndropogon bicornis
ndropogon leucostachyus
ndropogon selloanus
ndropogon virgatus
nthephora hermaphrodita
xonopus brasiliensis
xonopus leptostachyus
xonopus purpusii
ambusa trinii
rachiaria brizantha
rachiaria decumbens
rachiaria mutica
rachiaria plantaginea
enchrus echinatus
enchrus purpureus
hloris barbata
hloris exilis
oix lacryma-jobi
ynodon dactylon
actyloctenium aegyptium
igitaria ciliaris
igitaria horizontalis
igitaria violascens
inebra scabra
chinochloa crusgalli
chinochloa crus-pavonis
chinochloa polystachya
chinochloa colona (L.)
leusine indica
ragrostis acutiflora
ragrostis bahiensis
ragrostis ciliaris
Eragrostis hypnoides
ragrostis japonica
ragrostis pilosa
ragrostis tenella
riochloa distachya
riochloa punctata
riochrysis cayennensis
ynerium sagittatum
eleochloa schoenoides
omolepis aturensis
omolepis isocalycia
ymenachne donacifolia
ymenachne amplexicaulis (Rudge)
ypoginum virgatum
mperata brasiliensis
mperata tenuis
sachne polygonoides
schaemum guianense
schaemum minus
asiacis procerrima
eersia hexandra Sw.
eptochloa fascicularis
eptochloa virgata
eptocoryphium lanatum
uziola bahiensis
uziola brasiliana
uziola fragilis
uziola peruviana
